InvoiceNumber,Customer,CustomerEmail,InvoiceDate,Terms,DueDate,Amount,Status,PaymentDate,AmountPaid,DaysToPay,DaysPastDue_AtPayment,DaysPastDue_Current
INV-5018,Pinewood Consulting,amara@pinewoodconsulting.com,2025-02-13,Net 15,2025-02-28,3250,Paid,2025-03-03,3250,18,3,
INV-5019,TrueNorth MSP,billing@truenorthmsp.com,2025-02-24,Net 15,2025-03-11,7650,Paid,2025-03-12,7650,16,1,
INV-5020,Seoul Pharma Trading,finance@seoulpharma.co,2025-02-03,Net 30,2025-03-05,6900,Paid,2025-03-31,6900,56,26,
INV-5021,Orchid Labs,finance@orchidlabs.io,2025-02-19,Net 30,2025-03-21,6650,Paid,2025-04-04,6650,44,14,
INV-5022,Harborline Interiors,kim@harborlineinteriors.com,2025-02-04,Net 15,2025-02-19,2750,Paid,2025-02-24,2750,20,4,
INV-5023,Seoul Pharma Trading,finance@seoulpharma.co,2025-02-17,Net 30,2025-03-19,5250,Paid,2025-04-30,5250,72,42,
INV-5024,Quarry & Co Wholesale,ap@quarryco.com,2025-02-05,Net 30,2025-03-07,3200,Paid,2025-04-09,3200,63,33,
INV-5025,BlueRidge Hotels,karen.wu@blueridgehotels.com,2025-02-10,Net 30,2025-03-12,10750,Paid,2025-03-24,10750,42,11,
INV-5026,Northgate Property Mgmt,vendors@northgatepm.com,2025-02-11,Net 30,2025-03-13,6550,Paid,2025-04-17,6550,65,35,
INV-5027,Stellar Staffing Co,finance@stellarstaffing.co,2025-02-18,Net 15,2025-03-05,11450,Paid,2025-03-06,11450,16,1,
INV-5028,Vantage Media Group,ap@vantagemedia.group,2025-02-25,Net 30,2025-03-27,9350,Paid,2025-06-09,9350,104,72,
INV-5029,Cascade Logistics,payables@cascadelogistics.com,2025-03-18,Net 30,2025-04-17,9100,Paid,2025-05-02,9100,45,15,
INV-5030,Meridian Health Partners,billing@meridianhp.com,2025-03-10,Net 30,2025-04-09,13950,Paid,2025-04-21,13950,42,10,
INV-5031,Ridgeline Builders,ap@ridgelinebuilders.com,2025-03-24,Net 30,2025-04-23,7650,Paid,2025-06-10,7650,78,48,
INV-5032,Vantage Media Group,ap@vantagemedia.group,2025-03-24,Net 30,2025-04-23,14350,Paid,2025-06-16,14350,84,52,
INV-5033,Stellar Staffing Co,finance@stellarstaffing.co,2025-03-17,Net 15,2025-04-01,7850,Paid,2025-04-03,7850,17,2,
INV-5034,Lakeshore Events,accounts@lakeshoreevents.com,2025-03-11,Net 30,2025-04-10,12350,Paid,2025-05-01,12350,51,21,
INV-5035,BlueRidge Hotels,karen.wu@blueridgehotels.com,2025-03-10,Net 30,2025-04-09,11150,Paid,2025-04-21,11150,42,10,
INV-5036,Apex Mechanical,accounts@apexmech.com,2025-03-14,Net 30,2025-04-13,5750,Paid,2025-04-17,5750,34,4,
INV-5037,Northgate Property Mgmt,vendors@northgatepm.com,2025-03-06,Net 30,2025-04-05,2250,Paid,2025-05-29,2250,84,54,
INV-5038,Quarry & Co Wholesale,ap@quarryco.com,2025-03-20,Net 30,2025-04-19,9000,Paid,2025-05-19,9000,60,29,
INV-5039,Cascade Logistics,payables@cascadelogistics.com,2025-04-16,Net 30,2025-05-16,35400,Paid,2025-05-28,35400,42,12,
INV-5040,Harborline Interiors,kim@harborlineinteriors.com,2025-04-09,Net 15,2025-04-24,2500,Paid,2025-04-28,2500,19,3,
INV-5041,Quarry & Co Wholesale,ap@quarryco.com,2025-04-22,Net 30,2025-05-22,2600,Paid,2025-06-19,2600,58,28,
INV-5042,BlueRidge Hotels,karen.wu@blueridgehotels.com,2025-04-22,Net 30,2025-05-22,14950,Paid,2025-05-26,14950,34,4,
INV-5043,TrueNorth MSP,billing@truenorthmsp.com,2025-04-03,Net 15,2025-04-18,5650,Paid,2025-04-18,5650,15,0,
INV-5044,Apex Mechanical,accounts@apexmech.com,2025-04-21,Net 30,2025-05-21,8700,Paid,2025-05-28,8700,37,7,
INV-5045,Bluefin Seafood Dist,payables@bluefindist.com,2025-04-23,Net 30,2025-05-23,3750,Paid,2025-06-13,3750,51,21,
INV-5046,Ridgeline Builders,ap@ridgelinebuilders.com,2025-04-14,Net 30,2025-05-14,21350,Paid,2025-06-16,21350,63,31,
INV-5047,Meridian Health Partners,billing@meridianhp.com,2025-05-05,Net 30,2025-06-04,5600,Paid,2025-06-11,5600,37,7,
INV-5048,Northgate Property Mgmt,vendors@northgatepm.com,2025-05-23,Net 30,2025-06-22,3050,Paid,2025-08-01,3050,70,40,
INV-5049,Quarry & Co Wholesale,ap@quarryco.com,2025-05-22,Net 30,2025-06-21,6250,Paid,2025-07-28,6250,67,35,
INV-5050,Quarry & Co Wholesale,ap@quarryco.com,2025-05-26,Net 30,2025-06-25,9550,Paid,2025-07-21,9550,56,24,
INV-5051,Bluefin Seafood Dist,payables@bluefindist.com,2025-05-02,Net 30,2025-06-01,8800,Paid,2025-06-20,8800,49,19,
INV-5052,Stellar Staffing Co,finance@stellarstaffing.co,2025-05-12,Net 15,2025-05-27,18200,Paid,2025-05-27,18200,15,0,
INV-5053,Harborline Interiors,kim@harborlineinteriors.com,2025-05-08,Net 15,2025-05-23,3050,Paid,2025-05-23,3050,15,0,
INV-5054,Cascade Logistics,payables@cascadelogistics.com,2025-05-20,Net 30,2025-06-19,15500,Paid,2025-07-03,15500,44,14,
INV-5055,Meridian Health Partners,billing@meridianhp.com,2025-05-26,Net 30,2025-06-25,10950,Paid,2025-07-03,10950,38,8,
INV-5056,TrueNorth MSP,billing@truenorthmsp.com,2025-05-21,Net 15,2025-06-05,3750,Paid,2025-06-04,3750,14,-1,
INV-5057,BlueRidge Hotels,karen.wu@blueridgehotels.com,2025-05-21,Net 30,2025-06-20,16950,Paid,2025-07-02,16950,42,12,
INV-5058,Apex Mechanical,accounts@apexmech.com,2025-05-19,Net 30,2025-06-18,4250,Paid,2025-06-25,4250,37,7,
INV-5059,Seoul Pharma Trading,finance@seoulpharma.co,2025-06-05,Net 30,2025-07-05,6350,Paid,2025-08-04,6350,60,30,
INV-5060,Harborline Interiors,kim@harborlineinteriors.com,2025-06-06,Net 15,2025-06-21,1550,Paid,2025-06-26,1550,20,5,
INV-5061,BlueRidge Hotels,karen.wu@blueridgehotels.com,2025-06-18,Net 30,2025-07-18,21550,Paid,2025-07-28,21550,40,10,
INV-5062,Harborline Interiors,kim@harborlineinteriors.com,2025-06-09,Net 15,2025-06-24,3850,Paid,2025-06-27,3850,18,3,
INV-5063,Apex Mechanical,accounts@apexmech.com,2025-06-09,Net 30,2025-07-09,8350,Paid,2025-07-21,8350,42,11,
INV-5064,Granite Civil Group,ap@granitecivil.com,2025-06-10,Net 45,2025-07-25,29400,Paid,2025-08-11,29400,62,17,
INV-5065,Northgate Property Mgmt,vendors@northgatepm.com,2025-06-11,Net 30,2025-07-11,6250,Paid,2025-08-21,6250,71,41,
INV-5066,Meridian Health Partners,billing@meridianhp.com,2025-06-25,Net 30,2025-07-25,13650,Paid,2025-08-06,13650,42,12,
INV-5067,Northgate Property Mgmt,vendors@northgatepm.com,2025-06-23,Net 30,2025-07-23,5750,Paid,2025-09-22,5750,91,59,
INV-5068,Foundry Dev Collective,ops@foundrydev.co,2025-06-18,Net 30,2025-07-18,18150,Paid,2025-07-28,18150,40,9,
INV-5069,Stellar Staffing Co,finance@stellarstaffing.co,2025-06-02,Net 15,2025-06-17,9500,Paid,2025-06-23,9500,21,4,
INV-5070,TrueNorth MSP,billing@truenorthmsp.com,2025-06-24,Net 15,2025-07-09,6950,Paid,2025-07-14,6950,20,3,
INV-5071,Vantage Media Group,ap@vantagemedia.group,2025-06-19,Net 30,2025-07-19,7950,Paid,2025-09-08,7950,81,49,
INV-5072,Harborline Interiors,kim@harborlineinteriors.com,2025-07-22,Net 15,2025-08-06,1650,Paid,2025-08-06,1650,15,0,
INV-5073,Granite Civil Group,ap@granitecivil.com,2025-07-01,Net 45,2025-08-15,26100,Paid,2025-09-17,26100,78,33,
INV-5074,Foundry Dev Collective,ops@foundrydev.co,2025-07-21,Net 30,2025-08-20,14550,Paid-Partial-then-Settled,2025-08-29,14550,39,9,
INV-5075,Ridgeline Builders,ap@ridgelinebuilders.com,2025-07-15,Net 30,2025-08-14,22350,Paid,2025-09-17,22350,64,34,
INV-5076,BlueRidge Hotels,karen.wu@blueridgehotels.com,2025-07-07,Net 30,2025-08-06,4900,Paid,2025-08-25,4900,49,19,
INV-5077,Bluefin Seafood Dist,payables@bluefindist.com,2025-07-02,Net 30,2025-08-01,4150,Paid,2025-08-18,4150,47,17,
INV-5078,Pinewood Consulting,amara@pinewoodconsulting.com,2025-07-18,Net 15,2025-08-02,2100,Paid,2025-08-04,2100,17,1,
INV-5079,Lakeshore Events,accounts@lakeshoreevents.com,2025-07-15,Net 30,2025-08-14,6800,Paid,2025-09-22,6800,69,38,
INV-5080,Seoul Pharma Trading,finance@seoulpharma.co,2025-07-18,Net 30,2025-08-17,11300,Paid,2025-09-17,11300,61,31,
INV-5081,Vantage Media Group,ap@vantagemedia.group,2025-07-24,Net 30,2025-08-23,12450,Paid,2025-11-03,12450,102,70,
INV-5082,TrueNorth MSP,billing@truenorthmsp.com,2025-07-16,Net 15,2025-07-31,6650,Paid,2025-07-31,6650,15,0,
INV-5083,Northgate Property Mgmt,vendors@northgatepm.com,2025-07-09,Net 30,2025-08-08,1400,Paid,2025-09-16,1400,69,39,
INV-5084,Seoul Pharma Trading,finance@seoulpharma.co,2025-07-08,Net 30,2025-08-07,17850,Paid,2025-09-19,17850,73,43,
INV-5085,Quarry & Co Wholesale,ap@quarryco.com,2025-07-04,Net 30,2025-08-03,11800,Paid,2025-08-18,11800,45,15,
INV-5086,Vantage Media Group,ap@vantagemedia.group,2025-07-21,Net 30,2025-08-20,7650,Paid,2025-11-04,7650,106,76,
INV-5087,Ridgeline Builders,ap@ridgelinebuilders.com,2025-08-13,Net 30,2025-09-12,10950,Paid,2025-11-07,10950,86,56,
INV-5088,Orchid Labs,finance@orchidlabs.io,2025-08-15,Net 30,2025-09-14,4750,Paid,2025-09-22,4750,38,6,
INV-5089,Lakeshore Events,accounts@lakeshoreevents.com,2025-08-07,Net 30,2025-09-06,10350,Paid,2025-09-22,10350,46,15,
INV-5090,Meridian Health Partners,billing@meridianhp.com,2025-08-11,Net 30,2025-09-10,5700,Paid,2025-09-24,5700,44,14,
INV-5091,Seoul Pharma Trading,finance@seoulpharma.co,2025-08-05,Net 30,2025-09-04,16800,Paid,2025-10-15,16800,71,41,
INV-5092,BlueRidge Hotels,karen.wu@blueridgehotels.com,2025-08-18,Net 30,2025-09-17,8150,Paid,2025-10-13,8150,56,24,
INV-5093,Apex Mechanical,accounts@apexmech.com,2025-08-07,Net 30,2025-09-06,7600,Paid,2025-09-10,7600,34,4,
INV-5094,Northgate Property Mgmt,vendors@northgatepm.com,2025-08-20,Net 30,2025-09-19,1200,Paid,2025-11-12,1200,84,54,
INV-5095,Granite Civil Group,ap@granitecivil.com,2025-08-05,Net 45,2025-09-19,35700,Paid,2025-09-29,35700,55,10,
INV-5096,Cascade Logistics,payables@cascadelogistics.com,2025-08-04,Net 30,2025-09-03,27850,Paid,2025-09-11,27850,38,8,
INV-5097,Northgate Property Mgmt,vendors@northgatepm.com,2025-08-01,Net 30,2025-08-31,2050,Paid,2025-10-07,2050,67,37,
INV-5098,Cascade Logistics,payables@cascadelogistics.com,2025-08-19,Net 30,2025-09-18,17700,Paid,2025-10-03,17700,45,15,
INV-5099,Apex Mechanical,accounts@apexmech.com,2025-08-06,Net 30,2025-09-05,3500,Paid,2025-09-11,3500,36,6,
INV-5100,Harborline Interiors,kim@harborlineinteriors.com,2025-09-04,Net 15,2025-09-19,3550,Paid,2025-09-22,3550,18,3,
INV-5101,Seoul Pharma Trading,finance@seoulpharma.co,2025-09-16,Net 30,2025-10-16,11700,Paid,2025-11-17,11700,62,30,
INV-5102,Orchid Labs,finance@orchidlabs.io,2025-09-15,Net 30,2025-10-15,8050,Paid,2025-10-27,8050,42,12,
INV-5103,TrueNorth MSP,billing@truenorthmsp.com,2025-09-22,Net 15,2025-10-07,3450,Paid,2025-10-09,3450,17,2,
INV-5104,Vantage Media Group,ap@vantagemedia.group,2025-09-17,Net 30,2025-10-17,6900,Paid,2025-11-20,6900,64,34,
INV-5105,Northgate Property Mgmt,vendors@northgatepm.com,2025-09-22,Net 30,2025-10-22,7250,Paid,2025-12-11,7250,80,50,
INV-5106,Quarry & Co Wholesale,ap@quarryco.com,2025-09-15,Net 30,2025-10-15,6550,Paid,2025-11-10,6550,56,26,
INV-5107,Foundry Dev Collective,ops@foundrydev.co,2025-09-04,Net 30,2025-10-04,21250,Paid-Partial-then-Settled,2025-10-20,21250,46,14,
INV-5108,BlueRidge Hotels,karen.wu@blueridgehotels.com,2025-09-22,Net 30,2025-10-22,6950,Paid,2025-11-05,6950,44,14,
INV-5109,Lakeshore Events,accounts@lakeshoreevents.com,2025-09-05,Net 30,2025-10-05,5600,Paid,2025-10-13,5600,38,6,
INV-5110,Northgate Property Mgmt,vendors@northgatepm.com,2025-09-11,Net 30,2025-10-11,3600,Paid,2025-11-18,3600,68,38,
INV-5111,Cascade Logistics,payables@cascadelogistics.com,2025-09-22,Net 30,2025-10-22,23900,Paid,2025-10-27,23900,35,4,
INV-5112,Pinewood Consulting,amara@pinewoodconsulting.com,2025-09-04,Net 15,2025-09-19,5050,Paid,2025-09-22,5050,18,1,
INV-5113,Foundry Dev Collective,ops@foundrydev.co,2025-10-06,Net 30,2025-11-05,30300,Paid,2025-11-10,30300,35,3,
INV-5114,Harborline Interiors,kim@harborlineinteriors.com,2025-10-07,Net 15,2025-10-22,2400,Paid,2025-10-22,2400,15,0,
INV-5115,BlueRidge Hotels,karen.wu@blueridgehotels.com,2025-10-08,Net 30,2025-11-07,12300,Paid,2025-11-24,12300,47,17,
INV-5116,Granite Civil Group,ap@granitecivil.com,2025-10-24,Net 45,2025-12-08,12450,Paid,2025-12-25,12450,62,17,
INV-5117,Vantage Media Group,ap@vantagemedia.group,2025-10-14,Net 30,2025-11-13,7050,Paid,2026-01-09,7050,87,57,
INV-5118,Quarry & Co Wholesale,ap@quarryco.com,2025-10-22,Net 30,2025-11-21,11250,Paid,2025-12-29,11250,68,38,
INV-5119,BlueRidge Hotels,karen.wu@blueridgehotels.com,2025-10-03,Net 30,2025-11-02,5800,Paid,2025-11-24,5800,52,20,
INV-5120,Lakeshore Events,accounts@lakeshoreevents.com,2025-10-24,Net 30,2025-11-23,11600,Paid,2025-12-18,11600,55,25,
INV-5121,Northgate Property Mgmt,vendors@northgatepm.com,2025-10-06,Net 30,2025-11-05,4700,Paid,2025-12-12,4700,67,37,
INV-5122,Harborline Interiors,kim@harborlineinteriors.com,2025-10-13,Net 15,2025-10-28,3300,Paid,2025-10-28,3300,15,0,
INV-5123,Granite Civil Group,ap@granitecivil.com,2025-10-14,Net 45,2025-11-28,19200,Paid,2025-12-16,19200,63,18,
INV-5124,Ridgeline Builders,ap@ridgelinebuilders.com,2025-10-24,Net 30,2025-11-23,6950,Paid,2025-12-22,6950,59,27,
INV-5125,Seoul Pharma Trading,finance@seoulpharma.co,2025-10-10,Net 30,2025-11-09,14000,Paid,2025-12-10,14000,61,31,
INV-5126,Pinewood Consulting,amara@pinewoodconsulting.com,2025-10-07,Net 15,2025-10-22,2200,Paid,2025-10-27,2200,20,3,
INV-5127,Ridgeline Builders,ap@ridgelinebuilders.com,2025-11-17,Net 30,2025-12-17,10050,Paid,2026-02-06,10050,81,51,
INV-5128,Apex Mechanical,accounts@apexmech.com,2025-11-12,Net 30,2025-12-12,2350,Paid,2025-12-19,2350,37,7,
INV-5129,Granite Civil Group,ap@granitecivil.com,2025-11-10,Net 45,2025-12-25,24950,Paid,2026-01-26,24950,77,32,
INV-5130,Lakeshore Events,accounts@lakeshoreevents.com,2025-11-25,Net 30,2025-12-25,12650,Paid,2025-12-22,12650,27,-5,
INV-5131,Harborline Interiors,kim@harborlineinteriors.com,2025-11-20,Net 15,2025-12-05,3300,Paid,2025-12-05,3300,15,0,
INV-5132,Quarry & Co Wholesale,ap@quarryco.com,2025-11-24,Net 30,2025-12-24,10400,Paid,2026-01-14,10400,51,21,
INV-5133,Meridian Health Partners,billing@meridianhp.com,2025-11-10,Net 30,2025-12-10,3300,Paid,2025-12-29,3300,49,18,
INV-5134,Harborline Interiors,kim@harborlineinteriors.com,2025-11-11,Net 15,2025-11-26,2100,Paid,2025-12-01,2100,20,5,
INV-5135,Bluefin Seafood Dist,payables@bluefindist.com,2025-11-06,Net 30,2025-12-06,8500,Paid,2025-12-22,8500,46,15,
INV-5136,Cascade Logistics,payables@cascadelogistics.com,2025-11-05,Net 30,2025-12-05,30250,Paid,2025-12-15,30250,40,8,
INV-5137,Foundry Dev Collective,ops@foundrydev.co,2025-11-03,Net 30,2025-12-03,11300,Paid,2025-12-08,11300,35,3,
INV-5138,Quarry & Co Wholesale,ap@quarryco.com,2025-11-06,Net 30,2025-12-06,6000,Paid,2025-12-29,6000,53,22,
INV-5139,BlueRidge Hotels,karen.wu@blueridgehotels.com,2025-12-24,Net 30,2026-01-23,10500,Paid,2026-02-16,10500,54,22,
INV-5140,Apex Mechanical,accounts@apexmech.com,2025-12-02,Net 30,2026-01-01,2650,Paid,2026-01-05,2650,34,2,
INV-5141,Foundry Dev Collective,ops@foundrydev.co,2025-12-25,Net 30,2026-01-24,24450,Paid,2026-02-02,24450,39,8,
INV-5142,Northgate Property Mgmt,vendors@northgatepm.com,2025-12-16,Net 30,2026-01-15,5000,Paid,2026-02-23,5000,69,39,
INV-5143,Apex Mechanical,accounts@apexmech.com,2025-12-15,Net 30,2026-01-14,3550,Paid,2026-01-19,3550,35,4,
INV-5144,Pinewood Consulting,amara@pinewoodconsulting.com,2025-12-15,Net 15,2025-12-30,2000,Paid,2025-12-30,2000,15,0,
INV-5145,Meridian Health Partners,billing@meridianhp.com,2025-12-22,Net 30,2026-01-21,10450,Paid,2026-02-06,10450,46,16,
INV-5146,TrueNorth MSP,billing@truenorthmsp.com,2025-12-02,Net 15,2025-12-17,4450,Paid,2025-12-19,4450,17,2,
INV-5147,Quarry & Co Wholesale,ap@quarryco.com,2025-12-22,Net 30,2026-01-21,3000,Paid,2026-02-18,3000,58,28,
INV-5148,Granite Civil Group,ap@granitecivil.com,2025-12-25,Net 45,2026-02-08,13550,Paid,2026-03-26,13550,91,46,
INV-5149,Quarry & Co Wholesale,ap@quarryco.com,2025-12-09,Net 30,2026-01-08,5250,Paid,2026-02-06,5250,59,29,
INV-5150,Vantage Media Group,ap@vantagemedia.group,2025-12-15,Net 30,2026-01-14,5300,Paid,2026-03-23,5300,98,68,
INV-5151,TrueNorth MSP,billing@truenorthmsp.com,2026-01-13,Net 15,2026-01-28,6200,Paid,2026-01-30,6200,17,2,
INV-5152,Foundry Dev Collective,ops@foundrydev.co,2026-01-22,Net 30,2026-02-21,29150,Paid-Partial-then-Settled,2026-03-16,29150,53,23,
INV-5153,Harborline Interiors,kim@harborlineinteriors.com,2026-01-26,Net 15,2026-02-10,950,Paid,2026-02-16,950,21,6,
INV-5154,Northgate Property Mgmt,vendors@northgatepm.com,2026-01-12,Net 30,2026-02-11,4850,Paid,2026-03-30,4850,77,45,
INV-5155,Quarry & Co Wholesale,ap@quarryco.com,2026-01-19,Net 30,2026-02-18,6350,Paid,2026-03-10,6350,50,20,
INV-5156,Orchid Labs,finance@orchidlabs.io,2026-01-13,Net 30,2026-02-12,4150,Paid,2026-02-17,4150,35,5,
INV-5157,Vantage Media Group,ap@vantagemedia.group,2026-01-12,Net 30,2026-02-11,5250,Paid,2026-04-23,5250,101,71,
INV-5158,Bluefin Seafood Dist,payables@bluefindist.com,2026-01-23,Net 30,2026-02-22,8900,Paid,2026-03-12,8900,48,18,
INV-5159,BlueRidge Hotels,karen.wu@blueridgehotels.com,2026-01-05,Net 30,2026-02-04,12750,Paid,2026-02-24,12750,50,20,
INV-5160,Lakeshore Events,accounts@lakeshoreevents.com,2026-01-13,Net 30,2026-02-12,8800,Paid,2026-03-11,8800,57,27,
INV-5161,Apex Mechanical,accounts@apexmech.com,2026-01-13,Net 30,2026-02-12,8050,Paid,2026-02-16,8050,34,3,
INV-5162,Meridian Health Partners,billing@meridianhp.com,2026-01-26,Net 30,2026-02-25,4850,Paid,2026-03-16,4850,49,19,
INV-5163,Apex Mechanical,accounts@apexmech.com,2026-02-17,Net 30,2026-03-19,6250,Paid,2026-03-23,6250,34,2,
INV-5164,BlueRidge Hotels,karen.wu@blueridgehotels.com,2026-02-25,Net 30,2026-03-27,11000,Paid,2026-04-13,11000,47,15,
INV-5165,Meridian Health Partners,billing@meridianhp.com,2026-02-24,Net 30,2026-03-26,13550,Paid,2026-04-17,13550,52,22,
INV-5166,Seoul Pharma Trading,finance@seoulpharma.co,2026-02-04,Net 30,2026-03-06,7200,Paid,2026-04-13,7200,68,38,
INV-5167,Northgate Property Mgmt,vendors@northgatepm.com,2026-02-09,Net 30,2026-03-11,2300,Outstanding,,0,,,133
INV-5168,TrueNorth MSP,billing@truenorthmsp.com,2026-02-03,Net 15,2026-02-18,4200,Paid,2026-02-23,4200,20,4,
INV-5169,Ridgeline Builders,ap@ridgelinebuilders.com,2026-02-25,Net 30,2026-03-27,17300,Outstanding,,0,,,117
INV-5170,Bluefin Seafood Dist,payables@bluefindist.com,2026-02-19,Net 30,2026-03-21,5250,Paid,2026-04-13,5250,53,21,
INV-5171,Orchid Labs,finance@orchidlabs.io,2026-02-19,Net 30,2026-03-21,9150,Paid,2026-04-01,9150,41,11,
INV-5172,BlueRidge Hotels,karen.wu@blueridgehotels.com,2026-02-23,Net 30,2026-03-25,10300,Paid,2026-04-09,10300,45,15,
INV-5173,Seoul Pharma Trading,finance@seoulpharma.co,2026-02-16,Net 30,2026-03-18,6000,Paid,2026-04-22,6000,65,35,
INV-5174,Harborline Interiors,kim@harborlineinteriors.com,2026-02-09,Net 15,2026-02-24,3000,Paid,2026-02-26,3000,17,2,
INV-5175,Quarry & Co Wholesale,ap@quarryco.com,2026-02-12,Net 30,2026-03-14,7300,Paid,2026-04-06,7300,53,21,
INV-5176,Lakeshore Events,accounts@lakeshoreevents.com,2026-02-02,Net 30,2026-03-04,6800,Paid,2026-04-06,6800,63,32,
INV-5177,Cascade Logistics,payables@cascadelogistics.com,2026-03-10,Net 30,2026-04-09,10300,Paid,2026-04-24,10300,45,15,
INV-5178,Quarry & Co Wholesale,ap@quarryco.com,2026-03-20,Net 30,2026-04-19,8150,Paid,2026-05-04,8150,45,15,
INV-5179,Granite Civil Group,ap@granitecivil.com,2026-03-13,Net 45,2026-04-27,22050,Outstanding,,0,,,86
INV-5180,Apex Mechanical,accounts@apexmech.com,2026-03-02,Net 30,2026-04-01,4850,Paid,2026-04-03,4850,32,2,
INV-5181,Meridian Health Partners,billing@meridianhp.com,2026-03-19,Net 30,2026-04-18,10150,Paid,2026-05-11,10150,53,23,
INV-5182,Ridgeline Builders,ap@ridgelinebuilders.com,2026-03-05,Net 30,2026-04-04,23250,Outstanding,,0,,,109
INV-5183,TrueNorth MSP,billing@truenorthmsp.com,2026-03-16,Net 15,2026-03-31,3800,Paid,2026-04-03,3800,18,3,
INV-5184,Harborline Interiors,kim@harborlineinteriors.com,2026-03-23,Net 15,2026-04-07,1100,Paid,2026-04-07,1100,15,0,
INV-5185,Seoul Pharma Trading,finance@seoulpharma.co,2026-03-23,Net 30,2026-04-22,7600,Paid,2026-06-05,7600,74,44,
INV-5186,Stellar Staffing Co,finance@stellarstaffing.co,2026-03-16,Net 15,2026-03-31,13900,Paid,2026-04-06,13900,21,5,
INV-5187,Vantage Media Group,ap@vantagemedia.group,2026-03-20,Net 30,2026-04-19,5050,Outstanding,,0,,,94
INV-5188,Bluefin Seafood Dist,payables@bluefindist.com,2026-03-16,Net 30,2026-04-15,7750,Paid,2026-05-07,7750,52,22,
INV-5189,Seoul Pharma Trading,finance@seoulpharma.co,2026-03-23,Net 30,2026-04-22,13950,Paid,2026-06-08,13950,77,47,
INV-5190,Cascade Logistics,payables@cascadelogistics.com,2026-03-03,Net 30,2026-04-02,17900,Paid,2026-04-06,17900,34,4,
INV-5191,Ridgeline Builders,ap@ridgelinebuilders.com,2026-03-18,Net 30,2026-04-17,18200,Outstanding,,0,,,96
INV-5192,Foundry Dev Collective,ops@foundrydev.co,2026-03-23,Net 30,2026-04-22,33100,Paid,2026-05-18,33100,56,26,
INV-5193,Apex Mechanical,accounts@apexmech.com,2026-03-05,Net 30,2026-04-04,4000,Paid,2026-04-06,4000,32,2,
INV-5194,Quarry & Co Wholesale,ap@quarryco.com,2026-03-12,Net 30,2026-04-11,5450,Paid,2026-05-04,5450,53,22,
INV-5195,Northgate Property Mgmt,vendors@northgatepm.com,2026-03-23,Net 30,2026-04-22,5600,Paid,2026-05-29,5600,67,37,
INV-5196,TrueNorth MSP,billing@truenorthmsp.com,2026-04-03,Net 15,2026-04-18,4950,Paid,2026-04-21,4950,18,3,
INV-5197,Seoul Pharma Trading,finance@seoulpharma.co,2026-04-13,Net 30,2026-05-13,14650,Paid,2026-06-24,14650,72,42,
